=== Class-Wise Adaptive Fusion Training Log (3-Stage) ===
Epoch 051 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000300 | Gt-LR: 0.000000] -> Loss: 3.7368 | Train: 5.69% | ★Test: 6.62% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 052 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000300 | Gt-LR: 0.000000] -> Loss: 3.3710 | Train: 12.73% | ★Test: 11.03% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 053 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000299 | Gt-LR: 0.000000] -> Loss: 3.1000 | Train: 19.20% | ★Test: 12.13% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 054 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000297 | Gt-LR: 0.000000] -> Loss: 2.8585 | Train: 23.93% | ★Test: 18.01% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 055 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000295 | Gt-LR: 0.000000] -> Loss: 2.6955 | Train: 29.62% | ★Test: 20.59% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 056 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000293 | Gt-LR: 0.000000] -> Loss: 2.5554 | Train: 34.57% | ★Test: 20.77% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 057 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000289 | Gt-LR: 0.000000] -> Loss: 2.3917 | Train: 39.81% | ★Test: 31.25% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 058 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000286 | Gt-LR: 0.000000] -> Loss: 2.2550 | Train: 45.38% | ★Test: 24.63% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 059 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000281 | Gt-LR: 0.000000] -> Loss: 2.0608 | Train: 55.46% | ★Test: 31.62% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 060 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000277 | Gt-LR: 0.000000] -> Loss: 1.9110 | Train: 58.45% | ★Test: 26.47% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 061 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000271 | Gt-LR: 0.000000] -> Loss: 1.7677 | Train: 65.32% | ★Test: 29.96% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 062 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000266 | Gt-LR: 0.000000] -> Loss: 1.5528 | Train: 75.84% | ★Test: 29.60% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
