=== THUE-ACT-50 CHL HoloEv-Net-V3 (4-Ch) LS + Cosine Annealing ===
Model Params: 11.54 M
Model FLOPs: 2.26 G
Inference Latency: 3.05 ms
=================================================
Epoch 062/200 [LR: 0.000236] -> Loss: 0.7108 | Train Top-1: 100.00% | ★Test Top-1: 64.71% (Top-5: 88.42%)
Epoch 063/200 [LR: 0.000234] -> Loss: 0.7102 | Train Top-1: 100.00% | ★Test Top-1: 66.73% (Top-5: 89.71%)
Epoch 064/200 [LR: 0.000232] -> Loss: 0.7112 | Train Top-1: 100.00% | ★Test Top-1: 65.81% (Top-5: 89.34%)
Epoch 065/200 [LR: 0.000230] -> Loss: 1.2011 | Train Top-1: 85.19% | ★Test Top-1: 44.12% (Top-5: 76.84%)
Epoch 066/200 [LR: 0.000228] -> Loss: 0.9011 | Train Top-1: 97.07% | ★Test Top-1: 62.13% (Top-5: 86.95%)
Epoch 067/200 [LR: 0.000226] -> Loss: 0.7658 | Train Top-1: 100.00% | ★Test Top-1: 64.89% (Top-5: 86.21%)
Epoch 068/200 [LR: 0.000224] -> Loss: 0.7378 | Train Top-1: 100.00% | ★Test Top-1: 64.71% (Top-5: 87.87%)
Epoch 069/200 [LR: 0.000222] -> Loss: 0.7266 | Train Top-1: 100.00% | ★Test Top-1: 66.73% (Top-5: 87.32%)
Epoch 070/200 [LR: 0.000220] -> Loss: 0.7212 | Train Top-1: 100.00% | ★Test Top-1: 66.36% (Top-5: 87.50%)
Epoch 071/200 [LR: 0.000218] -> Loss: 0.7172 | Train Top-1: 100.00% | ★Test Top-1: 66.91% (Top-5: 87.68%)
Epoch 072/200 [LR: 0.000216] -> Loss: 0.7144 | Train Top-1: 100.00% | ★Test Top-1: 66.91% (Top-5: 86.76%)
Epoch 073/200 [LR: 0.000214] -> Loss: 0.7134 | Train Top-1: 100.00% | ★Test Top-1: 66.18% (Top-5: 87.50%)
Epoch 074/200 [LR: 0.000212] -> Loss: 0.7128 | Train Top-1: 100.00% | ★Test Top-1: 65.44% (Top-5: 88.79%)
Epoch 075/200 [LR: 0.000210] -> Loss: 0.7116 | Train Top-1: 100.00% | ★Test Top-1: 67.10% (Top-5: 87.87%)
Epoch 076/200 [LR: 0.000207] -> Loss: 0.7110 | Train Top-1: 100.00% | ★Test Top-1: 65.81% (Top-5: 87.50%)
Epoch 077/200 [LR: 0.000205] -> Loss: 0.7104 | Train Top-1: 100.00% | ★Test Top-1: 67.46% (Top-5: 87.87%)
Epoch 078/200 [LR: 0.000203] -> Loss: 0.7102 | Train Top-1: 100.00% | ★Test Top-1: 66.18% (Top-5: 88.42%)
Epoch 079/200 [LR: 0.000201] -> Loss: 0.7093 | Train Top-1: 100.00% | ★Test Top-1: 66.36% (Top-5: 88.24%)
Epoch 080/200 [LR: 0.000199] -> Loss: 0.7090 | Train Top-1: 100.00% | ★Test Top-1: 67.28% (Top-5: 88.05%)
Epoch 081/200 [LR: 0.000196] -> Loss: 0.7085 | Train Top-1: 100.00% | ★Test Top-1: 66.54% (Top-5: 88.24%)
Epoch 082/200 [LR: 0.000194] -> Loss: 0.7088 | Train Top-1: 100.00% | ★Test Top-1: 66.18% (Top-5: 87.50%)
Epoch 083/200 [LR: 0.000192] -> Loss: 0.7085 | Train Top-1: 100.00% | ★Test Top-1: 66.36% (Top-5: 88.05%)
Epoch 084/200 [LR: 0.000190] -> Loss: 0.7083 | Train Top-1: 100.00% | ★Test Top-1: 66.73% (Top-5: 88.60%)
Epoch 085/200 [LR: 0.000187] -> Loss: 0.7077 | Train Top-1: 100.00% | ★Test Top-1: 68.01% (Top-5: 88.24%)
Epoch 086/200 [LR: 0.000185] -> Loss: 0.7076 | Train Top-1: 100.00% | ★Test Top-1: 67.46% (Top-5: 88.24%)
Epoch 087/200 [LR: 0.000183] -> Loss: 0.7072 | Train Top-1: 100.00% | ★Test Top-1: 67.10% (Top-5: 88.97%)
Epoch 088/200 [LR: 0.000180] -> Loss: 0.7074 | Train Top-1: 100.00% | ★Test Top-1: 67.65% (Top-5: 88.42%)
Epoch 089/200 [LR: 0.000178] -> Loss: 0.7069 | Train Top-1: 100.00% | ★Test Top-1: 67.83% (Top-5: 89.34%)
Epoch 090/200 [LR: 0.000176] -> Loss: 0.7068 | Train Top-1: 100.00% | ★Test Top-1: 66.91% (Top-5: 87.87%)
Epoch 091/200 [LR: 0.000173] -> Loss: 0.7067 | Train Top-1: 100.00% | ★Test Top-1: 68.20% (Top-5: 89.15%)
