=== THUE-ACT-50 CHL (Two-Stream Optimized Differential Gating) ===
===================================================================
Epoch 043/100 [BaseLR: 0.000187 / Temp: 1.00] -> Loss: 0.7138 | Train Top-1: 100.00% | ★Test Top-1: 72.79% (Top-5: 91.91%) | [G-Gate: 0.502 / L-Gate: 0.498]
Epoch 044/100 [BaseLR: 0.000183 / Temp: 1.00] -> Loss: 0.7136 | Train Top-1: 100.00% | ★Test Top-1: 71.51% (Top-5: 91.18%) | [G-Gate: 0.502 / L-Gate: 0.498]
Epoch 045/100 [BaseLR: 0.000178 / Temp: 1.00] -> Loss: 0.7139 | Train Top-1: 100.00% | ★Test Top-1: 72.24% (Top-5: 90.81%) | [G-Gate: 0.508 / L-Gate: 0.492]
Epoch 046/100 [BaseLR: 0.000173 / Temp: 1.00] -> Loss: 0.7133 | Train Top-1: 100.00% | ★Test Top-1: 71.88% (Top-5: 89.71%) | [G-Gate: 0.509 / L-Gate: 0.491]
Epoch 047/100 [BaseLR: 0.000169 / Temp: 1.00] -> Loss: 0.7140 | Train Top-1: 100.00% | ★Test Top-1: 71.69% (Top-5: 91.73%) | [G-Gate: 0.513 / L-Gate: 0.487]
Epoch 048/100 [BaseLR: 0.000164 / Temp: 1.00] -> Loss: 0.7122 | Train Top-1: 100.00% | ★Test Top-1: 71.51% (Top-5: 91.91%) | [G-Gate: 0.515 / L-Gate: 0.485]
Epoch 049/100 [BaseLR: 0.000159 / Temp: 1.00] -> Loss: 0.7123 | Train Top-1: 100.00% | ★Test Top-1: 71.14% (Top-5: 90.62%) | [G-Gate: 0.517 / L-Gate: 0.483]
Epoch 050/100 [BaseLR: 0.000155 / Temp: 1.00] -> Loss: 0.7107 | Train Top-1: 100.00% | ★Test Top-1: 71.51% (Top-5: 91.54%) | [G-Gate: 0.521 / L-Gate: 0.479]
Epoch 051/100 [BaseLR: 0.000150 / Temp: 1.00] -> Loss: 0.7109 | Train Top-1: 100.00% | ★Test Top-1: 72.24% (Top-5: 91.54%) | [G-Gate: 0.522 / L-Gate: 0.478]
Epoch 052/100 [BaseLR: 0.000145 / Temp: 1.00] -> Loss: 0.7099 | Train Top-1: 100.00% | ★Test Top-1: 71.88% (Top-5: 91.54%) | [G-Gate: 0.524 / L-Gate: 0.476]
Epoch 053/100 [BaseLR: 0.000141 / Temp: 1.00] -> Loss: 0.7105 | Train Top-1: 100.00% | ★Test Top-1: 69.67% (Top-5: 91.91%) | [G-Gate: 0.527 / L-Gate: 0.473]
