=== THUE-ACT-50 CHL (2-Stage Global-First Sequential Training) ===
===================================================================
Epoch 041/100 [PHASE-1 (G-Only) | Bb-LR: 0.000196 / Gt-LR: 0.00000] -> Loss: 0.7086 | Train Top-1: 100.00% | ★Test Top-1: 75.37% (Top-5: 95.22%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 042/100 [PHASE-1 (G-Only) | Bb-LR: 0.000192 / Gt-LR: 0.00000] -> Loss: 0.7083 | Train Top-1: 100.00% | ★Test Top-1: 74.26% (Top-5: 94.67%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 043/100 [PHASE-1 (G-Only) | Bb-LR: 0.000187 / Gt-LR: 0.00000] -> Loss: 0.7077 | Train Top-1: 100.00% | ★Test Top-1: 76.47% (Top-5: 95.40%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 044/100 [PHASE-1 (G-Only) | Bb-LR: 0.000183 / Gt-LR: 0.00000] -> Loss: 0.7069 | Train Top-1: 100.00% | ★Test Top-1: 75.18% (Top-5: 95.22%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 045/100 [PHASE-1 (G-Only) | Bb-LR: 0.000178 / Gt-LR: 0.00000] -> Loss: 0.7070 | Train Top-1: 100.00% | ★Test Top-1: 74.45% (Top-5: 95.04%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 046/100 [PHASE-1 (G-Only) | Bb-LR: 0.000173 / Gt-LR: 0.00000] -> Loss: 0.7067 | Train Top-1: 100.00% | ★Test Top-1: 74.63% (Top-5: 95.22%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 047/100 [PHASE-1 (G-Only) | Bb-LR: 0.000169 / Gt-LR: 0.00000] -> Loss: 0.7068 | Train Top-1: 100.00% | ★Test Top-1: 74.26% (Top-5: 95.04%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 048/100 [PHASE-1 (G-Only) | Bb-LR: 0.000164 / Gt-LR: 0.00000] -> Loss: 0.7067 | Train Top-1: 100.00% | ★Test Top-1: 75.74% (Top-5: 94.67%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 049/100 [PHASE-1 (G-Only) | Bb-LR: 0.000159 / Gt-LR: 0.00000] -> Loss: 0.7065 | Train Top-1: 100.00% | ★Test Top-1: 76.10% (Top-5: 95.40%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 050/100 [PHASE-1 (G-Only) | Bb-LR: 0.000155 / Gt-LR: 0.00000] -> Loss: 0.7058 | Train Top-1: 100.00% | ★Test Top-1: 76.65% (Top-5: 95.77%) | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 051/100 [PHASE-2 (Fused) | Bb-LR: 0.000150 / Gt-LR: 0.02000] -> Loss: 0.8860 | Train Top-1: 97.86% | ★Test Top-1: 53.86% (Top-5: 83.82%) | [G-Gate: 0.773 / L-Gate: 0.227]
Epoch 052/100 [PHASE-2 (Fused) | Bb-LR: 0.000145 / Gt-LR: 0.01800] -> Loss: 0.9125 | Train Top-1: 96.11% | ★Test Top-1: 57.90% (Top-5: 90.44%) | [G-Gate: 0.776 / L-Gate: 0.224]
Epoch 053/100 [PHASE-2 (Fused) | Bb-LR: 0.000141 / Gt-LR: 0.01620] -> Loss: 0.7585 | Train Top-1: 99.83% | ★Test Top-1: 73.53% (Top-5: 94.30%) | [G-Gate: 0.746 / L-Gate: 0.254]
Epoch 054/100 [PHASE-2 (Fused) | Bb-LR: 0.000136 / Gt-LR: 0.01458] -> Loss: 0.7231 | Train Top-1: 100.00% | ★Test Top-1: 73.53% (Top-5: 94.85%) | [G-Gate: 0.734 / L-Gate: 0.266]
